,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
5519,VARAZDIN,50,ZBELAVA,PROSTORIJE DRUSTVENOG DOMA,VARAZDINSKA 119 VARAZDIN,404,233,19,,,37,125,51 ZBELAVA VARAZDIN
5520,BEBRINA,7,ZBJEG,DRUSTVENI DOM ZBJEG,ZBJEG 86 BEBRINA,375,152,10,,,85,31,7 ZBJEG BEBRINA
5521,KUTINA,24,ZBJEGOVACA,DOM ZBJEGOVACA,ZBJEGOVACA KUTINA,293,142,19,,,26,66,24 ZBJEGOVACA KUTINA
5522,GOLA,5,ZDALA,PODRUCNA SKOLA ZDALA,ULICA BRACE RADIC 1 GOLA,466,188,2,,,82,64,5 ZDALA GOLA
5523,GARESNICA,1,ZDENCAC,OSNOVNA SKOLA,BANOVACA 77 GARESNICA,356,186,8,,,106,45,1 ZDENCAC GARESNICA
5524,CAZMA,22,ZDENCEC,DOM ZDENCEC,ZDENCEC 44 CAZMA,89,50,0,,,27,16,22 ZDENCEC CAZMA
5525,ZDENCI,1,ZDENCI,MUZEJSKOGALERIJSKI PROSTOR,HRVATSKIH BRANITELJA 2 ZDENCI,368,186,4,,,66,60,1 ZDENCI ZDENCI
5526,ZDENCI,2,ZDENCI,OSNOVNA SKOLA IVAN GORAN KOVACIC,SKOLSKA 1 ZDENCI,383,215,8,,,70,87,2 ZDENCI ZDENCI
5527,BRDOVEC,6,ZDENCI BRDOVECKI,DRUSTVENI DOM ZDENCI BRDOVECKI,ZDENCI BRDOVECKI ZDENACKA 82 BRDOVEC,1107,569,44,,,149,248,6 ZDENCI BRDOVECKI BRDOVEC
5528,JASTREBARSKO,9,ZDIHOVO,DOM DVD,ZDIHOVO JASTREBARSKO,141,78,9,,,36,23,9 ZDIHOVO JASTREBARSKO
5529,BJELOVAR,60,ZDRALOVI,SKOLA U ZDRALOVIMA,DARUVARSKA 40 BJELOVAR,655,319,23,,,151,114,51 ZDRALOVI BJELOVAR
5530,BJELOVAR,61,ZDRALOVI,DOM U ZDRALOVIMA,ZDRALOVSKA 20 BJELOVAR,523,240,23,,,99,89,52 ZDRALOVI BJELOVAR
5531,PASMAN,8,ZDRELAC,PROSTORIJA MJESNOG ODBORA ZDRELAC,ZDRELAC PASMAN,484,234,28,,,105,75,8 ZDRELAC PASMAN
5532,POSEDARJE,8,ZDRILO,PODRUCNA SKOLA BRACE RIBAR U ZDRILU,ZDRILO POSEDARJE,94,60,10,,,36,5,8 ZDRILO POSEDARJE
5533,SELNICA,4,ZEBANEC SELO,PODRUCNA SKOLA ZEBANEC SELO,ZEBANEC SELO 66 SELNICA,783,291,10,,,35,185,3 ZEBANEC SELO SELNICA
5534,OBROVAC,5,ZEGAR,OSNOVNA SKOLA U ZEGARU,ZEGAR OBROVAC,84,23,3,,,3,12,5 ZEGAR OBROVAC
5535,MATULJI,20,ZEJANE,PODRUCNA SKOLA ZEJANE,ZEJANE 1 MATULJI,112,58,1,,,9,25,20 ZEJANE MATULJI
5536,VALPOVO,14,ZELCIN,ZGRADA STARE SKOLE MERGED HETERO,LJUDEVITA GAJA 1 VALPOVO,250,168,13,,,73,16,ZELCINVALPOVO MERGED HETERO
5537,PETRIJANEC,6,ZELENDVOR,PROSTORIJA TVRTKE ZELENDVOR DD,G BOMBELLES BB PETRIJANEC,105,66,4,,,8,43,6 ZELENDVOR PETRIJANEC
5538,ZAGREBISTOCNI DIO,47,ZELENI BRIJEG,TENISKI KLUB MIROSEVECINA,MIROSEVECKI BRIJEG 45 ZAGREBISTOCNI DIO,736,388,61,,,119,120,45 ZELENI BRIJEG ZAGREBISTOCNI DIO
5539,STRIGOVA,3,ZELEZNA GORA,DOM KULTURE,ZELEZNA GORA 126 STRIGOVA,376,197,6,,,41,122,3 ZELEZNA GORA STRIGOVA
5540,ZEMUNIK DONJI,1,ZEMUNIK DONJI,U PROSTORIJAMA OPCINE ZEMUNIK DONJI,ZEMUNIK DONJI ZEMUNIK DONJI,1267,735,95,,,442,106,1 ZEMUNIK DONJI ZEMUNIK DONJI
5541,ZEMUNIK DONJI,2,ZEMUNIK GORNJI,SPORTSKOREKREACIONI CENTAR ZEMUNIK GORNJI,ZEMUNIK GORNJI ZEMUNIK DONJI,370,232,31,,,149,20,2 ZEMUNIK GORNJI ZEMUNIK DONJI
5542,NIN,6,ZERAVA,OS BARTUL KASIC ZADAR PODRUCNA SKOLA ZERAVA,ZERAVA NIN,142,77,4,,,37,16,6 ZERAVA NIN
5543,NIN,7,ZERAVAPOLJACI,PROSTORIJE TVRTKE NAJAM,ZERAVAPOLJACI KBR 19 NIN,38,20,1,,,1,16,7 ZERAVAPOLJACI NIN
5544,ZAGREBISTOCNI DIO,136,ZERJAVINEC,PROSTORIJE MJESNOG ODBORA,ULICA LJUDEVITA GAJA 27 ZAGREBISTOCNI DIO,463,257,17,,,72,86,135 ZERJAVINEC ZAGREBISTOCNI DIO
5545,DUBRAVA,3,ZETKAN,DRUSTVENI DOM,ZETKAN DUBRAVA,157,86,7,,,33,29,3 ZETKAN DUBRAVA
5546,SESTANOVAC,4,ZEZEVICAORJE,PROSTORIJE OSNOVNE SKOLE ZEZEVICA ORJE,ZEZEVICA ORJE SESTANOVAC,195,128,12,,,110,1,4 ZEZEVICAORJE SESTANOVAC
5547,SESTANOVAC,3,ZEZEVICAPRIVIJA,KUCA JOZE PEJKOVICA POK MILANA MERGED HETERO,PUT ZEZEVICE BR 67 ZEZEVICA SESTANOVAC,143,79,15,,,48,8,ZEZEVICAPRIVIJASESTANOVAC MERGED HETERO
5548,DUBRAVA,4,ZGALISCE,DRUSTVENI DOM,ZGALISCE DUBRAVA,123,58,4,,,14,31,4 ZGALISCE DUBRAVA
5549,POZEGA,40,ZGRADA KUTJEVO DD I MJESNOG DOMA,KRIVAJ,KRIVAJ BB POZEGA,62,39,0,,,14,23,39 ZGRADA KUTJEVO DD I MJESNOG DOMA POZEGA
5550,TORDINCI,4,ZGRADA MJESNOG ODBORA ANTIN,ANTIN,IGUNDULICA 85 TORDINCI,572,343,8,,,195,76,4 ZGRADA MJESNOG ODBORA ANTIN TORDINCI
5551,TORDINCI,3,ZGRADA MJESNOG ODBORA MLAKA ANTINSKA,MLAKA ANTINSKA,GLAVNA 17 TORDINCI,30,12,0,,,1,11,3 ZGRADA MJESNOG ODBORA MLAKA ANTINSKA TORDINCI
5552,TORDINCI,1,ZGRADA OPCINE TORDINCI,TORDINCI,TRG HRVATSKIH ZRTAVA 9 TORDINCI,630,334,16,,,210,67,1 ZGRADA OPCINE TORDINCI TORDINCI
5553,POZEGA,33,ZGRADA SKOLE,NOVA LIPA,NOVA LIPA BB POZEGA,74,41,0,,,21,13,32 ZGRADA SKOLE POZEGA
5554,PAKRAC,19,ZGRADA STARE KUGLANE,PAKRAC,LEPTIROVO BRDO 1 PAKRAC,260,140,9,,,64,29,19 ZGRADA STARE KUGLANE PAKRAC
5555,KRIZEVCI,50,ZIBRINOVEC,DRUSTVENI DOM ZIBRINOVEC,ZIBRINOVEC KRIZEVCI,91,20,3,,,10,4,50 ZIBRINOVEC KRIZEVCI
5556,BEDEKOVCINA,4,ZIDOVINJAK,DRUSTVENI DOM,ZIDOVINJAK BEDEKOVCINA,147,62,7,,,11,34,4 ZIDOVINJAK BEDEKOVCINA
5557,SVETI ILIJA,8,ZIGROVEC,KONTENJER U ZIGROVCU MERGED HETERO,VLADIMIRA NAZORA BB SVETI ILIJA,189,129,10,,,51,39,ZIGROVECSVETI ILIJA MERGED HETERO
5558,MARTINSKA VES,5,ZIRCICA,VATROGASNI DOM,ZIRCICA MARTINSKA VES,106,65,12,,,22,25,5 ZIRCICA MARTINSKA VES
5559,CAKOVEC,26,ZISKOVEC,ZGRADA DRUSTVENOG DOMA,ZISKOVEC 3B CAKOVEC,449,239,7,,,26,175,26 ZISKOVEC CAKOVEC
5560,ZAGREBJUGOISTOK,36,ZITNJAK,PROSTORIJE MJESNOG ODBORA,ZITNJAK 61 ZAGREBJUGOISTOK,1073,514,30,,,175,159,36 ZITNJAK ZAGREBJUGOISTOK
5561,ZAGREBJUGOISTOK,37,ZITNJAK,PROSTORIJE MJESNOG ODBORA,ZITNJAK 61 ZAGREBJUGOISTOK,1086,495,55,,,182,118,37 ZITNJAK ZAGREBJUGOISTOK
5562,SVETI IVAN ZELINA,36,ZITOMIR,DRUSTVENI DOM,ZITOMIR BB SVETI IVAN ZELINA,141,52,1,,,8,21,36 ZITOMIR SVETI IVAN ZELINA
5563,HRVATSKA DUBICA,6,ZIVAJA,ZGRADA HRVATSKOG DOMA,ZIVAJA 147 HRVATSKA DUBICA,190,99,4,,,56,17,6 ZIVAJA HRVATSKA DUBICA
5564,ORIOVAC,7,ZIVIKE,DRUSTVENI DOM ZIVIKE MERGED HETERO,ZIVIKE ORIOVAC,188,73,4,,,39,16,ZIVIKEORIOVAC MERGED HETERO
5565,PODGORA,4,ZIVOGOSCE,OSNOVNA SKOLA DON MIHOVIL PAVLINOVIC,ZIVOGOSCE PORAT 87 PODGORA,556,220,28,,,81,80,4 ZIVOGOSCE PODGORA
5566,ZLATAR,1,ZLATAR,GRADSKA KNJIZNICA,ZLATAR ZAGREBACKA 2 ZLATAR,1030,497,20,,,150,259,1 ZLATAR ZLATAR
5567,ZLATAR,2,ZLATAR,OSNOVNA SKOLA ANTE KOVACICA PREDVORJE,ZLATAR ZLATAR,997,481,19,,,114,277,2 ZLATAR ZLATAR
5568,ZLATAR,3,ZLATAR,PROSTORIJE AUTO KLUBA,ZLATAR PARK HRVATSKE MLADEZI 2 ZLATAR,869,412,22,,,98,225,3 ZLATAR ZLATAR
5569,ZLATAR BISTRICA,2,ZLATAR BISTRICA,OSNOVNA SKOLA,VLADIMIRA NAZORA 10 ZLATAR BISTRICA,623,355,37,,,91,162,2 ZLATAR BISTRICA ZLATAR BISTRICA
5570,ZLATAR BISTRICA,1,ZLATAR BISTRICA,DRUSTVENI DOM MERGED HETERO,ZAGORSKA 1 ZLATAR BISTRICA,599,324,17,,,60,154,ZLATAR BISTRICAZLATAR BISTRICA MERGED HETERO
5571,GRADINA,12,ZLEBINA,DRUSTVENI DOM ZLEBINA,ZLEBINA BB GRADINA,185,88,3,,,46,24,11 ZLEBINA GRADINA
5572,SVETI KRIZ ZACRETJE,2,ZLEC,KUCA MIHOVILIC ZELJKA,ZLEC 1D SVETI KRIZ ZACRETJE,124,63,2,,,23,31,2 ZLEC SVETI KRIZ ZACRETJE
5573,VRGORAC,17,ZLIBINA,KUCA ZORE VULETICA,POLJICA KOZICKA 148 VRGORAC,83,81,2,,,78,1,17 ZLIBINA VRGORAC
5574,BAKAR,7,ZLOBIN,PROSTORIJE DOMA KULTURE ZLOBIN,ZLOBIN 157 BAKAR,255,160,4,,,68,54,7 ZLOBIN BAKAR
5575,LEPOGLAVA,17,ZLOGONJE,KUCA CELIG JOSIPA,ZLOGONJE 140 LEPOGLAVA,357,98,0,,,49,28,17 ZLOGONJE LEPOGLAVA
5576,KNEZEVI VINOGRADI,4,ZMAJEVAC,DOM KULTURE,MARSALA TITA 90 KNEZEVI VINOGRADI,260,70,4,,,25,20,4 ZMAJEVAC KNEZEVI VINOGRADI
5577,SALI,3,ZMAN,OSNOVNA SKOLA ZMAN,ZMAN SALI,242,99,12,,,24,46,3 ZMAN SALI
5578,ZMIJAVCI,1,ZMIJAVCI,OS SUTE,ZMIJAVCI ZMIJAVCI,785,659,32,,,581,13,1 ZMIJAVCI ZMIJAVCI
5579,ZMIJAVCI,2,ZMIJAVCI,OS ZMIJAVCI POLJETINA,ZMIJAVCI ZMIJAVCI,893,529,47,,,405,20,2 ZMIJAVCI ZMIJAVCI
5580,ZMINJ,1,ZMINJ,ZGRADA OPCINE ZMINJ,PAZINSKA 2G ZMINJ ZMINJ,861,402,34,,,56,87,1 ZMINJ ZMINJ
5581,ZMINJ,3,ZMINJ,KINO SALA,ZMINJ ZMINJ,709,218,16,,,26,46,3 ZMINJ ZMINJ
5582,ZMINJ,4,ZMINJ,ZGRADA OS VLADIMIR GORTAN,ZMINJ ZMINJ,705,265,17,,,27,50,4 ZMINJ ZMINJ
5583,ZDENCI,7,ZOKOV GAJ,MJESNI DOM,ZOKOV GAJ 11 ZDENCI,105,56,0,,,20,2,7 ZOKOV GAJ ZDENCI
5584,NASICE,25,ZOLJAN,DRUSTVENI DOM,ZOLJAN NASICE,598,299,22,,,130,32,25 ZOLJAN NASICE
5585,OPRISAVCI,7,ZOLJANI,DRUSTVENI DOM U ZOLJANIMA,ZOLJANI OPRISAVCI,24,17,0,,,10,2,7 ZOLJANI OPRISAVCI
5586,JELENJE,1,ZORETICI,PROSTORIJA BK ZORETICI,ZORETICI ZORETICI BB JELENJE,337,170,17,,,48,56,1 ZORETICI JELENJE
5587,SUNJA,6,ZREME,DOM DVDA,ZREME BB SUNJA,55,37,1,,,29,4,6 ZREME SUNJA
5588,ZAGREBCENTAR ZAPAD,30,ZRINJEVAC,PROSTORIJE MJESNOG ODBORA,PALMOTICEVA ULICA 30 ZAGREBCENTAR ZAPAD,905,504,40,,,155,208,29 ZRINJEVAC ZAGREBCENTAR ZAPAD
5589,ZAGREBCENTAR ZAPAD,31,ZRINJEVAC,PROSTORIJE MJESNOG ODBORA,PALMOTICEVA ULICA 30 ZAGREBCENTAR ZAPAD,802,481,45,,,154,185,30 ZRINJEVAC ZAGREBCENTAR ZAPAD
5590,SVETI IVAN ZELINA,42,ZRINSCINA,DRUSTVENI DOM,ZRINSCINA BB SVETI IVAN ZELINA,120,37,2,,,12,15,42 ZRINSCINA SVETI IVAN ZELINA
5591,VELIKI GRDEVAC,11,ZRINSKA,BIVSA TRGOVINA U ZRINSKOJ,ZRINSKA 47 VELIKI GRDEVAC,100,37,0,,,14,12,11 ZRINSKA VELIKI GRDEVAC
5592,DVOR,7,ZRINSKI BRDANI,DRUSTVENI DOM,ZRINSKI BRDANI BB DVOR,76,16,0,,,2,9,7 ZRINSKI BRDANI DVOR
5593,ZRINSKI TOPOLOVAC,1,ZRINSKI TOPOLOVAC,OPCINSKI DOM,ZRINSKI TOPOLOVAC 274 ZRINSKI TOPOLOVAC,451,166,13,,,97,42,1 ZRINSKI TOPOLOVAC ZRINSKI TOPOLOVAC
5594,GRACAC,6,ZRMANJA,STAMBENI OBJEKAT OBITELJI DRONJAK MERGED HETERO,ZRMANJA 0 GRACAC,59,12,0,,,0,12,ZRMANJAGRACAC MERGED HETERO
5595,SPLIT,163,ZRNOVNICA,DOM KULTURE KORESNICA,KORESNICA SPLIT,1248,727,145,,,283,198,161 ZRNOVNICA SPLIT
5596,SPLIT,164,ZRNOVNICA,MJESNI ODBOR ZRNOVNICA,ZRNOVNICA SPLIT,1410,765,160,,,310,200,162 ZRNOVNICA SPLIT
5597,KORCULA,4,ZRNOVO,ZGRADA OSNOVNE SKOLE,ZRNOVO KORCULA,1000,566,56,,,219,201,4 ZRNOVO KORCULA
5598,SUHOPOLJE,18,ZUBRICA,PRIVATNA KUCA MERGED HETERO,ZUBRICA 41 SUHOPOLJE,89,39,4,,,19,7,ZUBRICASUHOPOLJE MERGED HETERO
5599,DUBRAVA,10,ZUKOVEC,DRUSTVENI DOM,ZUKOVEC DUBRAVA,119,50,4,,,10,26,10 ZUKOVEC DUBRAVA
5600,STON,17,ZULJANA,ZGRADA OS PROSTORIJE MO ZULJANA,ZULJANA BB STON,220,125,35,,,48,27,8 ZULJANA STON
5601,VRBOVEC,20,ZUNCI,VATROGASNI DOM,ZUNCI 6 VRBOVEC,140,52,5,,,23,14,20 ZUNCI VRBOVEC
5602,ZAGVOZD,5,ZUPA,OSNOVNA SKOLA MERGED HETERO,ZUPA ZAGVOZD,42,22,2,,,17,3,ZUPAZAGVOZD MERGED HETERO
5603,MALI BUKOVEC,3,ZUPANEC,DRUSTVENI DOM,ZUPANEC 56A MALI BUKOVEC,145,65,7,,,19,28,3 ZUPANEC MALI BUKOVEC
5604,ZUPANJA,13,ZUPANJA,KINO KRISTAL,SECERANA 62 ZUPANJA,724,329,29,,,125,122,13 ZUPANJA ZUPANJA
5605,ZUPANJA,9,ZUPANJA,KINO MLADOST II,STROSSMAYEROVA 51 ZUPANJA,729,374,40,,,158,119,9 ZUPANJA ZUPANJA
5606,ZUPANJA,1,ZUPANJA,OS IVAN KOZARAC I,DR FRANJE RACKOG 30 ZUPANJA,957,414,30,,,188,121,1 ZUPANJA ZUPANJA
5607,ZUPANJA,2,ZUPANJA,OS IVAN KOZARAC II,DRFRANJE RACKOG 30 ZUPANJA,860,388,36,,,179,110,2 ZUPANJA ZUPANJA
5608,ZUPANJA,10,ZUPANJA,OSNOVNA SKOLA MATE LOVRAK I,ASTEPINCA 18 ZUPANJA,1076,462,40,,,233,118,10 ZUPANJA ZUPANJA
5609,ZUPANJA,11,ZUPANJA,OSNOVNA SKOLA MATE LOVRAK II,ASTEPINCA 18 ZUPANJA,872,343,16,,,183,90,11 ZUPANJA ZUPANJA
5610,ZUPANJA,12,ZUPANJA,OSNOVNA SKOLA MATE LOVRAK III,ASTEPINCA 18 ZUPANJA,980,393,40,,,180,111,12 ZUPANJA ZUPANJA
5611,ZUPANJA,14,ZUPANJA,PROSTORIJE NK ZUPANJA 77,MCATICA ZUPANJA,571,215,8,,,157,23,14 ZUPANJA ZUPANJA
5612,ZUPANJA,3,ZUPANJA,ZGRADA SREDNJIH SKOLA I,VELIKI KRAJ 42 ZUPANJA,910,359,27,,,220,59,3 ZUPANJA ZUPANJA
5613,ZUPANJA,4,ZUPANJA,ZGRADA SREDNJIH SKOLA II,VELIKI KRAJ 42 ZUPANJA,574,216,14,,,119,46,4 ZUPANJA ZUPANJA
5614,ZUPANJA,5,ZUPANJA,ZGRADA SREDNJIH SKOLA III,VELIKI KRAJ 42 ZUPANJA,672,263,21,,,124,66,5 ZUPANJA ZUPANJA
5615,ZUPANJA,21,ZUPANJA,KINO MLADOST ISUMARIJA I ZUPANJASUMARIJA II ZUPANJA MERGED HETERO,STROSSMAYEROVA 51 ZUPANJADRFRANJE RACKOG 34 ZUPANJADR FRANJE RACKOG 34 ZUPANJA,2138,1043,87,,,440,371,ZUPANJAZUPANJA MERGED HETERO
5616,KRAPINA,11,ZUTNICA,POSLOVNI PROSTOR SIMICCO DOO MERGED HETERO,ZUTNICA 5 KRAPINA,287,108,13,,,30,53,ZUTNICAKRAPINA MERGED HETERO
5617,OMIS,19,ZVECANJE,PROSTORIJE MJESNOG ODBORA U ZVECANJU,ZVECANJE OMIS,239,144,36,,,76,22,19 ZVECANJE OMIS
5618,DUBRAVA,16,ZVEKOVAC,DRUSTVENI DOM,ZVEKOVAC DUBRAVA,151,73,5,,,29,29,15 ZVEKOVAC DUBRAVA
5619,KONAVLE,4,ZVEKOVICA,OMLADINSKI DOM NA ZVEKOVICI,ZVEKOVICA BB KONAVLE,500,279,36,,,132,70,4 ZVEKOVICA KONAVLE
5620,SALI,12,ZVERINAC,MJESNI ODBOR ZVERINAC,ZVERINAC SALI,77,50,8,,,26,12,12 ZVERINAC SALI
5621,MATULJI,13,ZVONECA,PODRUCNA SKOLA ZVONECA,ZVONECA 40 MATULJI,232,89,6,,,8,42,13 ZVONECA MATULJI
5622,FARKASEVAC,10,ZVONIK,DRUSTVENI DOM,ZVONIK FARKASEVAC,67,28,2,,,9,14,10 ZVONIK FARKASEVAC
5623,CADAVICA,3,ZVONIMIROVAC,VATROGASNI DOM,ZVONIMIROVAC CADAVICA,226,145,5,,,97,27,3 ZVONIMIROVAC CADAVICA
5624,SUHOPOLJE,17,ZVONIMIROVO,DRUSTVENI DOM MJESNOG ODBORA,STJEPANA RADICA 1 SUHOPOLJE,69,38,0,,,18,9,17 ZVONIMIROVO SUHOPOLJE
5625,KRASIC,12,BIRACKO MJESTO BR11 JEZERINE,KUCA LJUBOMIRA JEZERINCA,JEZERINE 1 KRASIC,52,24,1,0,0,15,5,11 BIRACKO MJESTO BR11 JEZERINE KRASIC
5626,UMAG UMAGO,4,SEGETSEGHETTO,DVORAC SEGET,SEGET 12 UMAG UMAGO,614,307,13,0,0,60,92,4 SEGETSEGHETTO UMAG UMAGO
5627,DUBROVNIK,7,DUBROVNIK GK PLOCE IZA GRADA,GIMNAZIJA I,FRANA SUPILA 3 DUBROVNIK,1490,756,125,0,0,236,291,3 DUBROVNIK GK PLOCE IZA GRADA DUBROVNIK
5628,DAKOVO,6,DAKOVO,CENTAR ZA KULTURU,KRALJA TOMISLAVA 13 DAKOVO,615,345,33,0,0,217,60,6 DAKOVO DAKOVO
5629,VARAZDIN,33,VARAZDIN,BIRALISTE 1 PROSTORIJE DJECJEG VRTICA LEGO DVORANA,ALEJA KRALJA ZVONIMIRA 3 VARAZDIN,2151,1159,96,0,0,175,662,10 VARAZDIN VARAZDIN
5630,BJELOVAR,117,ZVIJERCI,PROSTORIJE NK ZVIJERCI,ZVIJERCI 77A BJELOVAR,1766,887,73,0,0,348,347,50 ZVIJERCI BJELOVAR
5631,RIBNIK,4,BIRACKO MJESTO BR 4 GORNJA STRANICA,PRIVATNA KUCA U VLASNISTVU MIRE STEPIC,GORNJA STRANICA 21 RIBNIK,63,32,3,0,0,7,12,4 BIRACKO MJESTO BR 4 GORNJA STRANICA RIBNIK
5632,ZAKANJE,11,BIRACKO MJESTO BR 11 VELIKA PAKA,VATROGASNI DOM VELIKA PAKA,VELIKA PAKA ZAKANJE,120,73,9,0,0,39,12,11 BIRACKO MJESTO BR 11 VELIKA PAKA ZAKANJE
5633,LIPIK,1,OSNOVNA SKOLA LIPIK,LIPIK,SKOLSKA 25 LIPIK,612,373,42,0,0,185,94,1 OSNOVNA SKOLA LIPIK LIPIK
5634,ZAGREBJUGOISTOK,287,DUGAVE,I OSNOVNA SKOLA DUGAVE,SKOLSKI PRILAZ 7 ZAGREBJUGOISTOK,8519,4960,487,0,0,1260,2220,38 DUGAVE ZAGREBJUGOISTOK39 DUGAVE ZAGREBJUGOISTOK40 DUGAVE ZAGREBJUGOISTOK41 DUGAVE ZAGREBJUGOISTOK42 DUGAVE ZAGREBJUGOISTOK43 DUGAVE ZAGREBJUGOISTOK44 DUGAVE ZAGREBJUGOISTOK
5635,OZALJ,10,BIRACKO MJESTO BR 10 SVETICKO HRASCE,LOVACKI DOM,SVETICKO HRASCE OZALJ,129,62,3,0,0,28,23,10 BIRACKO MJESTO BR 10 SVETICKO HRASCE OZALJ
5636,VALPOVO,3,VALPOVO,SREDNJA SKOLA VALPOVO,ULICA DR FRANJE TUDMANA 2 VALPOVO,612,362,40,0,0,94,140,3 VALPOVO VALPOVO
5637,VALPOVO,2,VALPOVO,DVORAC DOO VALPOVO,MATIJE ANTUNA RELJKOVICA 16 VALPOVO,604,339,33,0,0,111,129,2 VALPOVO VALPOVO
5638,VELIKA LUDINA,12,KATOLICKO SELISCE,DRUSTVENI DOM KATOLICKO SELISCE,MOSLAVACKIH VINOGRADA 64 VELIKA LUDINA,139,52,2,0,0,10,24,12 KATOLICKO SELISCE VELIKA LUDINA
5639,KRASIC,13,BIRACKO MJESTO BR12 KONJARIC VRH,PROSTORIJE VATROGANOG DOMA,KONJARIC VRH KRASIC,38,19,0,0,0,10,7,12 BIRACKO MJESTO BR12 KONJARIC VRH KRASIC
5640,BJELOVAR,3,BJELOVAR,VELEUCILISTE U BJELOVARU I,TRG EUGENA KVATERNIKA 4 BJELOVAR,484,248,25,0,0,55,125,3 BJELOVAR BJELOVAR
5641,ZAKANJE,9,BIRACKO MJESTO BR 9 ZALUKA LIPNICKA,VATROGASNI DOM ZALUKA LIPNICKA,ZALUKA LIPNICKA ZAKANJE,120,54,3,0,0,23,18,9 BIRACKO MJESTO BR 9 ZALUKA LIPNICKA ZAKANJE
5642,OPRTALJ PORTOLE,1,OPRTALJPOTROLE,ZGRADA OPCINE OPRTALJ,MATKA LAGINJE 21 OPRTALJ OPRTALJ PORTOLE,337,154,9,0,0,15,43,1 OPRTALJPOTROLE OPRTALJ PORTOLE
5643,ZAKANJE,2,BIRACKO MJESTO BR 2 JUROVSKI BROD,VATROGASNI DOM JUROVSKI BROD,JUROVSKI BROD ZAKANJE,384,186,15,0,0,65,64,2 BIRACKO MJESTO BR 2 JUROVSKI BROD ZAKANJE
5644,ZAGREBCENTAR ZAPAD,125,JANKO MATKO,PROSTORIJE MJESNOG ODBORA,ULICA FRANJE HORVATA KISA 12 ZAGREBCENTAR ZAPAD,1170,641,43,0,0,185,277,123 JANKO MATKO ZAGREBCENTAR ZAPAD
5645,CAGLIN,21,PRIVATNA KUCA STJEPANA KRALJAKA,DUBOKA,DUBOKA 50A CAGLIN,26,19,2,0,0,0,9,21 PRIVATNA KUCA STJEPANA KRALJAKA CAGLIN
5646,MEDULIN,3,BANJOLE BIRACKO MJESTO BR 3,DRUSTVENI DOM,CIMULJE 24 MEDULIN,883,486,22,0,0,76,169,3 BANJOLE BIRACKO MJESTO BR 3 MEDULIN
5647,PLETERNICA,21,OS FRA KAJE ADZICA PODRUCNA SKOLA,BUCJE,BUCJE 38 PLETERNICA,228,136,6,0,0,91,16,21 OS FRA KAJE ADZICA PODRUCNA SKOLA PLETERNICA
5648,OTOCAC,19,OTOCAC ZGRADA GACKOG PUCKOG O UC PRIZ,ZGRADA GACKOG PUCKOG O UC PRIZ,OTOCAC OTOCAC,1849,1018,194,0,0,522,202,9 OTOCAC ZGRADA GACKOG PUCKOG O UC PRIZ OTOCAC
5649,RIJEKA,83,CENTAR SUSAK,PROSTORIJE MJESNOG ODBORA,SETALISTE ANDRIJE KACICA MIOSICA 8A RIJEKA,602,293,17,0,0,63,147,83 CENTAR SUSAK RIJEKA
5650,DUBROVNIK,49,TRSTENO MO TRSTENO,ZGRADA OSNOVNE SKOLE TRSTENO,TRSTENO BB DUBROVNIK,204,108,13,0,0,66,14,49 TRSTENO MO TRSTENO DUBROVNIK
5651,DUGO SELO,15,VELIKA OSTRNA I,VATROGASNI DOM VELIKA OSTRNA,VELIKA OSTRNA OMLADINSKA BB DUGO SELO,1142,494,65,0,0,241,101,21 VELIKA OSTRNA I DUGO SELO
5652,DUBROVNIK,2,DUBRAVICA MODUBRAVICA,KUCA ANE MILIC,DUBRAVICA BB DUBROVNIK,33,27,2,0,0,19,0,2 DUBRAVICA MODUBRAVICA DUBROVNIK
5653,DUBROVNIK,17,DUBROVNIK GK LAPAD,OSNOVNA SKOLA LAPAD,OD BATALE 26 DUBROVNIK,1113,538,92,0,0,152,214,17 DUBROVNIK GK LAPAD DUBROVNIK
5654,OZALJ,25,BIRCKO MJESTO BROJ 25 RADATOVICI,VATROGASNI DOM,RADATOVICI OZALJ,184,81,2,0,0,3,66,25 BIRCKO MJESTO BROJ 25 RADATOVICI OZALJ
5655,DUBROVNIK,11,DUBROVNIK GK,OPCINSKI SUD U DUBROVNIKU ATRIJ ISPRED SUDNICE BROJ 2,A STARCEVICA 23 DUBROVNIK,1294,670,104,0,0,215,255,11 DUBROVNIK GK MONTOVJERNA DUBROVNIK
5656,PLETERNICA,9,SEOSKI DOM,TRAPARI,TRAPARI PLETERNICA,136,70,10,0,0,21,29,9 SEOSKI DOM PLETERNICA
5657,KOSTRENA,3,KOSTRENA,STARA SKOLA SV BARBARA,TRG SVETE BARBARE 1 KOSTRENA,1329,670,46,0,0,179,285,3 KOSTRENA KOSTRENA
5658,ZAKANJE,5,BIRACKO MJESTO BR 5 BRIHOVO,VATROGASNI DOM BRIHOVO,BRIHOVO ZAKANJE,145,90,7,0,0,26,26,5 BIRACKO MJESTO BR 5 BRIHOVO ZAKANJE
