,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
4105,ORAHOVICA,10,STARA JOŠAVA,VATROGASNI DOM,"STARA JOŠAVA 45, ORAHOVICA",209,117,6,53,31,"10 STARA JOŠAVA, ORAHOVICA"
4106,DUBRAVANOVA KAPELA,31,STARA KAPELA,DRUŠTVENI DOM,"STARA KAPELA, DUBRAVASTARA KAPELA 13, NOVA KAPELA",144,64,0,40,7,"24 STARA KAPELA, DUBRAVA7 STARA KAPELA, NOVA KAPELA"
4107,KLOŠTAR IVANIĆ,3,STARA MARČA,PUČKI DOM,"STARA MARČA BB, KLOŠTAR IVANIĆ",119,36,1,7,10,"3 STARA MARČA, KLOŠTAR IVANIĆ"
4108,IVANSKA,12,STARA PLOŠĆICA,DRUŠTVENI DOM,"STARA PLOŠĆICA 72, IVANSKA",203,109,2,47,5,"12 STARA PLOŠĆICA, IVANSKA"
4109,NOVA RAČA,5,STARA RAČA,MJESNI DOM,"STARA RAČA 74, NOVA RAČA",246,104,3,44,36,"5 STARA RAČA, NOVA RAČA"
4110,NOVSKA,11,STARA SUBOCKA,HRVATSKI DOM MERGED HETERO,"STARA SUBOCKA, NOVSKA",389,171,7,96,16,STARA SUBOCKA MERGED HETERO
4111,BJELOVAR,45,STARE PLAVNICE,DOM U STARIM PLAVNICAMA,"STAROPLAVNIČKA ULICA 52, BJELOVAR",547,262,16,108,76,"45 STARE PLAVNICE, BJELOVAR"
4112,KRIŽEVCI,22,STARI BOŠNJANI,DRUŠTVENI DOM STARI BOŠNJANI,"STARI BOŠNJANI, KRIŽEVCI",75,29,2,15,8,"22 STARI BOŠNJANI, KRIŽEVCI"
4113,LEKENIK,2,STARI BROD,HRVATSKI DOM STARI BROD,"STARI BROD, LEKENIK",149,70,6,37,14,"2 STARI BROD, LEKENIK"
4114,LEKENIK,3,STARI FARKAŠIĆ,HRVATSKI DOM STARI FARKAŠIĆ MERGED HETERO,"STARI FARKAŠIĆ, LEKENIK",92,47,4,22,8,STARI FARKAŠIĆ MERGED HETERO
4115,GRADEC,14,STARI GLOG,DRUŠTVENI DOM STARI GLOG,"STARI GLOG, GRADEC",86,42,3,13,20,"14 STARI GLOG, GRADEC"
4116,LOBOR,3,STARI GOLUBOVEC,DRUŠTVENI DOM,"STARI GOLUBOVEC 88B, LOBOR",159,89,1,28,42,"3 STARI GOLUBOVEC, LOBOR"
4117,NOVSKA,14,STARI GRABOVAC,HRVATSKI DOM MERGED HETERO,"STARI GRABOVAC, NOVSKA",336,179,3,113,20,STARI GRABOVAC MERGED HETERO
